Series_Title	Season_Number	Episode_Number	Episode_Title	Series_ID	Season_ID	Episode_ID
Tratamento de Choque	1	1	Charlie de volta à terapia	66d70dfaf98f52001332a8f5		66d71d6c46be430013cf2195
Tratamento de Choque	1	2	Charlie e a transa que o tirou da seca	66d70dfaf98f52001332a8f5		66d71d6e46be430013cf22a4
Tratamento de Choque	1	3	Charlie e Kent brigam por um paciente	66d70dfaf98f52001332a8f5		66d760f877deaf0014ca16fe
Tratamento de Choque	1	4	Charlie tenta a privação de sono	66d70dfaf98f52001332a8f5		66d760fa77deaf0014ca1762
Tratamento de Choque	1	5	Charlie e o paciente saído da prisão	66d70dfaf98f52001332a8f5		66d713946ec6ad001375dac1
Tratamento de Choque	1	6	Charlie namora uma paciente de Kate	66d70dfaf98f52001332a8f5		66d713976ec6ad001375dc3d
Tratamento de Choque	1	7	Charlie tenta provar que terapia é coisa séria	66d70dfaf98f52001332a8f5		66d716649f04dd0013b7f8db
Tratamento de Choque	1	8	Charlie revela o segredo de um paciente	66d70dfaf98f52001332a8f5		66d716679f04dd0013b7f9de
Tratamento de Choque	1	9	Charlie e a visita do pai	66d70dfaf98f52001332a8f5		66d70dfbf98f52001332a916
Tratamento de Choque	1	10	Charlie fica romântico	66d70dfaf98f52001332a8f5		66d70dfef98f52001332aa28
Tratamento de Choque	2	1	Charlie enlouquece no chá de bebê	66d70dfaf98f52001332a8f5		66e99546a0ed470013111961
Tratamento de Choque	2	2	Charlie e o pai ficando demente	66d70dfaf98f52001332a8f5		66e9997a22dfe900133c59a0
Tratamento de Choque	2	3	Charlie e o ex-paciente	66d70dfaf98f52001332a8f5		66e9998222dfe900133c5b6c
Tratamento de Choque	2	4	Charlie e as más companhias do pai	66d70dfaf98f52001332a8f5		66e99c4138c4a00013d5630f
Tratamento de Choque	2	5	Charlie e Jen juntos novamente	66d70dfaf98f52001332a8f5		66e99c4738c4a00013d564f6
Tratamento de Choque	2	6	Charlie e a terapia do engano	66d70dfaf98f52001332a8f5		66e99c4a38c4a00013d5667c
Tratamento de Choque	2	7	Charlie namora uma professora	66d70dfaf98f52001332a8f5		66ea6c62a1c8920013ae8ff6
Tratamento de Choque	2	8	Charlie e Cee Lo	66d70dfaf98f52001332a8f5		66ea6c6ba1c8920013ae926d
Tratamento de Choque	2	9	Charlie, o perito	66d70dfaf98f52001332a8f5		66ea6c72a1c8920013ae94b0
Tratamento de Choque	2	10	Charlie e a Igreja Católica	66d70dfaf98f52001332a8f5		66ea6c75a1c8920013ae95be
Tratamento de Choque	2	11	Charlie e a namorada louca, sexy e brava	66d70dfaf98f52001332a8f5		66ea6dca38c4a00013de8d86
Tratamento de Choque	2	12	Charlie coloca Lindsay Lohan em apuros	66d70dfaf98f52001332a8f5		66ea6dcd38c4a00013de8e5a
Tratamento de Choque	2	13	Charlie e Lacey irritam a vizinhança	66d70dfaf98f52001332a8f5		66e9a4b1a1c8920013a72157
Tratamento de Choque	2	14	Charlie e Kate dão uma cavalgada	66d70dfaf98f52001332a8f5		66e9a4b5a1c8920013a72265
Tratamento de Choque	2	15	Charlie e o namoro entre pacientes	66d70dfaf98f52001332a8f5		66e9a4baa1c8920013a7241e
Tratamento de Choque	2	16	Charlie e as fotos comprometedoras com Kate	66d70dfaf98f52001332a8f5		66e9a4bfa1c8920013a725bd
Tratamento de Choque	2	17	Charlie deixa Kate tomar as rédeas	66d70dfaf98f52001332a8f5		66e9a4c4a1c8920013a72732
Tratamento de Choque	2	18	Charlie e o coach de término	66d70dfaf98f52001332a8f5		66e99dc146be430013af6bbb
Tratamento de Choque	2	19	Charlie, Kate e Jen esquentam a relação	66d70dfaf98f52001332a8f5		66e99dbe46be430013af6b58
Tratamento de Choque	2	20	Charlie termina com Kate	66d70dfaf98f52001332a8f5		66e99dc646be430013af6d9e
Tratamento de Choque	2	21	Charlie e Kate começam uma pesquisa de sexo	66d70dfaf98f52001332a8f5		66e99db046be430013af65e1
Tratamento de Choque	2	22	Charlie e a nova amizade colorida	66d70dfaf98f52001332a8f5		66e99dc446be430013af6c90
Tratamento de Choque	3	1	Charlie e o sexo virtual no aeroporto	66d70dfaf98f52001332a8f5		66e99deb46be430013af78f4
Tratamento de Choque	3	2	Charlie e a nova terapeuta	66d70dfaf98f52001332a8f5		66e99dee46be430013af7a77
Tratamento de Choque	3	3	Charlie e a nerd gostosa	66d70dfaf98f52001332a8f5		66e99df346be430013af7bf5
Tratamento de Choque	3	4	Charlie e o gigolô secreto	66d70dfaf98f52001332a8f5		66e99df646be430013af7d77
Tratamento de Choque	3	5	Charlie namora a irmã de um serial killer	66d70dfaf98f52001332a8f5		66e99df846be430013af7e47
